comment_id;from_id;text;date;likes;reposts;post_id
10166861;269039782;Прикольно, видеоролик снят одним дублем, получается у Паши редкий дар двигаться быстрее обновления кадров )));2022-11-30;1;0;10166858
10166862;5348614;НИКУЯ У ВАС САЙТ НЕ РАБОТАЕт!;2022-11-30;0;0;10166858
10166863;5348614;писец уже через 3 броувзера препробовал убил полчти 30 минут!!!!!;2022-11-30;0;2;10166858
10166864;5348614;и куй!! нажимаю добавить и нчег оен происхзодит!;2022-11-30;0;1;10166858
10166866;449949460;Были такие уши. Звучание отличное, но в сравнении с soundcore liberty 3 pro, отстают. Из минусов, которые были в момент получения 1more: \n1) Почему-то именно с iphone xs max не работало приложение. В app store много комментариев от владельцев именно этой трубки. Уши удалось подключить к приложухе только один раз для настройки, потом они отвалились и не подключались. Не знаю, возможно сейчас уже выпустили заплатку и всё работает корректно. \n2) Амбушюры. Сторонние амбушюры поставить можно, но кейс при этом не закрывается.;2022-11-30;0;0;10166858
10160270;665157708;даже с учетом скидки 50%, мыло.ру дороже облака у яндекса;2022-09-09;3;1;10160267
10160287;524694;Как хорошо,что я в своё время урвал 1тб бесплатно и навсегда;2022-09-09;1;0;10160267
10160301;9021272;Я на яндексе брал 2 тб на 2 года за 1000 руб… мейл со скидкой 50% дороже моего яндекса в 7 раз)));2022-09-09;0;2;10160267
10160330;1083614;Облока маил ру просто удалили мое облако. Написав на почту разок всего. Ни смс ни чего ))) так что нахер эту компашку дырявую;2022-09-10;0;0;10160267
10157527;6433324;Херь;2022-08-09;0;0;10157503
10157558;590203586;Главное по ссылке не переходите);2022-08-10;0;0;10157503
10152646;10571270;;2022-06-08;5;0;10152643
10150782;168197789;Для участия необходимо подписаться на Telegram-каналы ..\n \nПереходите по ссылке и нажимайте кнопку «Участвовать»:;2022-05-17;0;0;10150638
10150783;-165623259;Айфон прилагается к этому говну?;2022-05-17;0;1;10150638
10150847;497452;600 тыщь людей в паблике и 3 комменрта, с 18 к просмотрами, на ютубе также накручено?;2022-05-17;0;0;10150638
10150851;44930948;сяоми 11 тоже обещал разыграть, но что то пошло не так;2022-05-17;0;0;10150638
10135039;51444500;Ага только снять деньги без комиссии можно только в банкоматах банка. У меня вот в пригороде таких нет.;2021-11-25;0;0;10135028
10125484;55333486;Жаль, что СБ и ГБ зашкварились за последний год(;2021-07-29;0;0;10125465
10125524;260231003;Вы не ум и не тело....;2021-07-29;0;0;10125465
